Codigo,Descripcion,Estado de stock,Stock Minimo,Cantidad Stock,Última etapa comprada,Etapa en ejecución,Cantidad presupuestada etapa,Cantidad presupuestada por lote,Cantidad comprada,Cantidad recibida,Cantidad entregada,Cantidad entregada semanalmente
1194652.0,ACRIZINC NEGRO 1 GAL,BAJO NIVEL CRITICO Y PARA MENOS DE DOS SEMANAS,"2,5","0,0",015,015,"6,5","0,4","6,0","6,0","4,0","1,0"
1269909.0,ADHESIVO AC EN PASTA 25 KG,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,"7,888","24,0",016,014,"23,5","1,4","23,5","23,5","24,5","1,0"
1177641.0,ADHESIVO EN POLVO 25 KG 1 SAC O,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,"47,25","96,0",016,015,"142,0","9,5","142,0","142,0","129,0","1,0"
1261106.0,ALFOMBRA SPEED BEIGE 400 1 M2,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,"263,55","700,2",014,014,"754,6","44,4","746,2","746,2","23,0","1,0"
1177895.0,ANTICORROSIVO NEGRO 1 GAL,BAJO NIVEL CRITICO Y PARA MENOS DE DOS SEMANAS,"2,5","0,0",016,015,"1,6","0,1","2,0","2,0","0,5","1,0"
1274812.0,BASE COAT 20 KG 1 SACO,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,"95,25","120,0",016,016,"53,1","4,8","50,0","50,0","2,1","1,0"
1178193.0,"BROCHA 2"" 1 UN",BAJO NIVEL CRITICO Y PARA MENOS DE DOS SEMANAS,15,"0,0",013,013,"27,0","2,5","46,0","46,0","16,0","1,0"
1179508.0,"BROCHA 4"" 1 UN",SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,"11,25","41,0",014,014,"37,5","2,2","58,8","58,8","17,3","1,0"
1208153.0,CALEFON SPLENDID 10 LTS IONIZA DO G.L. 1 UN CON FLEXIBLES,BAJO NIVEL CRITICO Y PARA MENOS DE DOS SEMANAS,5,"0,0",014,014,"12,0","0,7","12,0","12,0","6,0","1,0"
1191849.0,CALEFON SPLENDID 7 LTS IONIZAD O 1 UN CON FLEXIBLES,BAJO NIVEL CRITICO Y PARA MENOS DE DOS SEMANAS,5,"0,0",014,014,"5,0","0,3","5,0","5,0","5,0","1,0"
1178222.0,"CANERIA CU 3/4"" TIPO L 1 ML",SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,10,"135,0",015,014,"34,0","2,0","34,0","34,0","15,0","1,0"
1191945.0,CAVE TECNOBOND 20 KG,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,"0,88","3,5",015,014,"2,1","0,1","2,1","2,1","1,5","1,0"
1189722.0,CELOSIA 20 X 20 BLANCA 1 UN,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,15,"115,0",015,014,"46,0","2,7","46,0","20,0","0,0","1,0"
1286080.0,CERAMICA SOLANA BEIGE 45 X 45,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,"165,6375","234,4",016,015,"497,0","33,1","497,0","497,0","316,6","1,0"
1295381.0,CERAMICA NEW BLANCA BRILL 20 X,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,"51,765","178,1",016,014,"154,1","9,1","89,0","89,0","46,5","1,0"
1193027.0,CERRADURA CILINDRICA INOX YALE ACCESO LLAVE 1 UN,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,5,"15,0",015,014,"17,0","1,0","17,0","17,0","17,0","1,0"
1193060.0,CERRADURA CILINDRICA INOX YALE BANO 134640 1 UN,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,10,"29,0",015,014,"17,0","1,0","29,0","29,0","29,0","1,0"
1248251.0,CERRADURA CILINDRICA INOX YALE OFICINA-DORMITORIO 134630 1 UN,BAJO NIVEL CRITICO Y PARA MENOS DE DOS SEMANAS,5,"0,0",015,014,"17,0","1,0","34,0","34,0","94,0","1,0"
1193086.0,CERRADURA CILINDRICA INOX YALE S/PASO 1 UN,CERCA DE NIVEL CRITICO Y PARA MÁS DE DOS SEMANAS,20,"22,0",015,014,"29,0","1,7","29,0","29,0","5,0","1,0"
1252664.0,CERROJO INOX LLAVE LLAVE 1 UN,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,5,"64,0",015,014,"34,0","2,0","34,0","34,0","34,0","1,0"
1179591.0,"DESAGUE LAVATORIO 1 1/4"" 1 UN",BAJO NIVEL CRITICO Y PARA MÁS DE DOS SEMANAS,10,"5,0",014,014,"17,0","1,0","29,0","29,0","29,0","1,0"
1256198.0,"DESAGUE LAVATORIO 1 1/4"" C/REB /REJ 1 UN",SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,10,"28,0",015,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,"1,0"
1177879.0,DESAGUE TINA/REBALSE/SIFON 1 UN,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,10,"24,0",015,014,"17,0","1,0","29,0","29,0","29,9","1,0"
1290581.0,ESTANQUE LUGANO 1 UN,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,10,"215,0",015,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,"1,0"
1291188.0,EXTRACTOR RETON 100 BTH HIGRO 1 UN,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,15,"42,0",014,014,"46,0","2,7","46,0","46,0","6,0","1,0"
1208621.0,FRAGUE CERAMICO ALMOND 1 KG,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,"63,1","120,0",013,013,"109,4","9,9","108,8","108,8","104,3","1,0"
1179524.0,FRAGUE CERAMICO BLANCO 1 KG,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,"19,72","31,0",014,014,"58,7","3,5","58,4","58,4","56,8","1,0"
1182889.0,LANA DE VIDRIO 100 MM 1 M2,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,400,"783,0",014,014,"243,1","14,3","235,7","235,7","187,2","1,0"
1194492.0,LANA DE VIDRIO 140 MM 1 M2,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,400,"693,0",013,013,"783,7","71,2","783,0","783,0","10,4","1,0"
1295453.0,LATEX CIELOLAT BLANCO 1T,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,12,"34,0",014,014,"36,3","2,1","43,0","43,0","25,8","1,0"
1295488.0,LATEX CIELOLAT MARFIL 1T,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,15,"47,2",015,014,"46,5","2,7","46,5","46,5","23,7","1,0"
1192260.0,LAVAMANOS VALENCIA 1 UN,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,10,"103,0",015,011,"17,0","1,0","29,0","29,0","5,0","1,0"
1189191.0,"LAVAPLATO ACERO INOX. DERECHO 0,80 MTS CEMCO 1 UN",SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,5,"11,0",014,012,"4,0","0,2","4,0","4,0","1,0","1,0"
1189175.0,"LAVAPLATO ACERO INOX. IZQUIERD O 0,80 MTS CEMCO 1 UN",SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,5,"10,0",014,012,"14,0","0,8","14,0","14,0","11,0","1,0"
1251346.0,MALLA DE FIBRA DE VIDRIO 1X50 MTS 1 UN,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,"8,125","28,1",016,015,"24,1","1,6","24,1","24,1","19,2","1,0"
1270432.0,MARMOLINA BEIGE (25 KG) 1 TINETA,CERCA DE NIVEL CRITICO Y PARA MÁS DE DOS SEMANAS,"9,533333333","11,0",013,011,"86,6","5,1","28,0","28,0","1,0","1,0"
1270483.0,MARMOLINA BLANCA (25 KG) 1 TINETA,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,"1,25","36,0",015,014,"71,6","4,2","15,0","15,0","13,5","1,0"
1270459.0,MARMOLINA GRIS ARENA (25 KG) 1 TINETA,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,"9,533333333","30,0",014,014,"71,6","4,2","30,0","30,0","14,1","1,0"
1270441.0,MARMOLINA MOSTAZA (25 KG) 1 TINETA,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,"9,533333333","18,0",015,014,"71,6","4,2","3,0","3,0","15,0","1,0"
1192956.0,MASTERSEAL 550 30 KG 1 JUEGO,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,5,"20,0",015,015,"15,0","1,0","15,0","15,0","10,0","1,0"
1274821.0,MASTERWALL BEIGE (IC) 23 KG 1 TINETA,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,"1,833333333","12,0",015,013,"12,1","1,1","4,1","4,1","1,0","1,0"
1274839.0,MASTERWALL GRIS ARENA(SR) 23KG 1 TINETA,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,"1,833333333","11,0",015,014,"13,2","0,8","6,7","6,7","1,0","1,0"
1274847.0,MASTERWALL MOSTAZA (GS) 23 KG 1 TINETA,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,"1,833333333","13,0",015,013,"12,1","1,1","4,1","4,1","1,0","1,0"
1182803.0,"MEDIDOR AGUA POTABLE 3/4"" 1 U N",SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,5,"33,0",015,013,"11,0","1,0","12,0","12,0","12,0","1,0"
1299451.0,PASTA MURO CI-2005 24 KG 1 TIN,SOBRE NIVEL CRÍTICO Y PARA MÁS DE DOS SEMANAS,18,"38,0",#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,#N/D,"1,0"
